Data;Descrição;Valor;;Banco;;Tipo de Despesa;;Mês;Ano;Dia;Grupo de Dias;Gasto Excessivo
13/04/2023;mamao;R$ 5,27;ALIMENTACAO;Bradesco;A vista;Variável;Willian;abril;2023;quinta-feira;Dias Úteis;Dentro da Média
13/04/2023;Uber *Uber *Trip;R$ 14,93;TRANSPORTE;Nubank;Crédito;Variável;Willian;abril;2023;quinta-feira;Dias Úteis;Dentro da Média
14/04/2023;marisa 01/05;R$ 20,00;COMPRAS;Bradesco;A vista;Fixa;Willian;abril;2023;sexta-feira;Final de Semana;Dentro da Média
15/04/2023;Ppro *Adobe;R$ 124,00;ASSINATURAS;Nubank;Crédito;Fixa;Mallu;abril;2023;sábado;Final de Semana;Acima da Média
17/04/2023;Ifood;R$ 37,90;ALIMENTACAO;Bradesco;A vista;Variável;Willian;abril;2023;segunda-feira;Dias Úteis;Acima da Média
17/04/2023;DCE;R$ 30,00;EDUCAÇÃO;Bradesco;A vista;variável;Willian;abril;2023;segunda-feira;Dias Úteis;Acima da Média
17/04/2023;Torres Bar;R$ 56,91;LAZER;Bradesco;A vista;Variável;Willian;abril;2023;segunda-feira;Dias Úteis;Acima da Média
17/04/2023;Psicologo;R$ 4,00;SAUDE;Bradesco;A vista;Variável;Willian;abril;2023;segunda-feira;Dias Úteis;Dentro da Média
17/04/2023;Uber;R$ 12,93;TRANSPORTE;Bradesco;A vista;Variável;Willian;abril;2023;segunda-feira;Dias Úteis;Dentro da Média
18/04/2023;Cinesercla Tambia;R$ 31,00;LAZER;Nubank;Crédito;Variável;Willian;abril;2023;terça-feira;Dias Úteis;Acima da Média
18/04/2023;Cabeleireiro;R$ 25,00;MODA;Bradesco;A vista;Fixa;Willian;abril;2023;terça-feira;Dias Úteis;Dentro da Média
18/04/2023;Uber;R$ 14,95;TRANSPORTE;Bradesco;A vista;Variável;Willian;abril;2023;terça-feira;Dias Úteis;Dentro da Média
19/04/2023;Uber *Uber *Trip;R$ 19,93;TRANSPORTE;Nubank;Crédito;Variável;Willian;abril;2023;quarta-feira;Dias Úteis;Dentro da Média
20/04/2023;PIX enviado para Shp Br Inst P Svc P LTDA;R$ 131,49;COMPRAS;Neon;A vista;Variável;Willian;abril;2023;quinta-feira;Dias Úteis;Acima da Média
20/04/2023;Uber *Uber *Trip;R$ 11,92;TRANSPORTE;Nubank;Crédito;Variável;Willian;abril;2023;quinta-feira;Dias Úteis;Dentro da Média
